iter	Passed	Remaining
581	11204	8047
582	11222	8027
583	11241	8007
584	11261	7988
585	11281	7970
586	11301	7951
587	11321	7932
588	11339	7912
589	11359	7894
590	11379	7875
591	11399	7856
592	11418	7837
593	11438	7818
594	11460	7800
595	11482	7783
596	11500	7763
597	11518	7743
598	11539	7724
599	11558	7705
600	11577	7685
601	11596	7667
602	11616	7647
603	11634	7628
604	11653	7608
605	11673	7589
606	11691	7569
607	11711	7550
608	11730	7531
609	11750	7512
610	11770	7493
611	11789	7474
612	11809	7455
613	11828	7436
614	11849	7417
615	11869	7399
616	11888	7379
617	11910	7362
618	11929	7342
619	11949	7324
620	11969	7304
621	11988	7285
622	12007	7266
623	12026	7246
624	12050	7230
625	12069	7211
626	12090	7192
627	12115	7176
628	12136	7158
629	12163	7143
630	12184	7125
631	12210	7109
632	12237	7094
633	12259	7077
634	12282	7059
635	12308	7044
636	12328	7025
637	12347	7006
638	12366	6986
639	12391	6970
640	12411	6950
641	12430	6931
642	12452	6913
643	12471	6894
644	12490	6874
645	12510	6855
646	12530	6836
647	12548	6816
648	12567	6796
649	12587	6777
650	12606	6758
651	12627	6739
652	12646	6720
653	12665	6700
654	12686	6682
655	12707	6663
656	12726	6644
657	12746	6625
658	12765	6605
659	12785	6586
660	12806	6567
661	12825	6548
662	12838	6525
663	12858	6506
664	12873	6485
665	12892	6465
666	12915	6448
667	12936	6429
668	12954	6409
669	12971	6388
670	12986	6367
671	13003	6347
672	13024	6328
673	13042	6308
674	13062	6289
675	13075	6266
676	13092	6246
677	13108	6225
678	13125	6205
679	13142	6184
680	13163	6166
681	13183	6147
682	13204	6128
683	13221	6107
684	13238	6087
685	13252	6066
686	13271	6046
687	13291	6027
688	13308	6007
689	13327	5987
690	13343	5966
691	13359	5946
692	13377	5926
693	13394	5905
694	13411	5885
695	13425	5863
696	13435	5840
697	13447	5818
698	13465	5798
699	13482	5778
700	13503	5759
701	13524	5741
702	13543	5721
703	13565	5703
704	13585	5684
705	13598	5662
706	13615	5642
707	13634	5623
708	13649	5602
709	13666	5582
710	13685	5562
711	13700	5541
712	13718	5522
713	13738	5503
714	13757	5483
715	13777	5464
716	13796	5445
717	13816	5426
718	13835	5407
719	13855	5388
720	13874	5368
721	13892	5349
722	13909	5328
723	13926	5309
724	13946	5289
725	13964	5270
726	13986	5252
727	14002	5231
728	14015	5210
729	14031	5189
730	14051	5170
731	14073	5152
732	14090	5132
733	14109	5113
734	14127	5093
735	14143	5073
736	14159	5052
737	14177	5033
738	14193	5012
739	14206	4991
740	14222	4971
741	14243	4952
742	14260	4932
743	14276	4912
744	14292	4891
745	14310	4872
746	14329	4853
747	14346	4833
748	14363	4813
749	14377	4792
750	14396	4773
751	14412	4752
752	14431	4733
753	14449	4714
754	14467	4694
755	14481	4673
756	14498	4654
757	14516	4634
758	14528	4613
759	14548	4594
760	14569	4575
761	14586	4555
762	14600	4535
763	14612	4513
764	14625	4492
765	14643	4473
766	14662	4454
767	14680	4434
768	14698	4415
769	14717	4396
770	14734	4376
771	14753	4357
772	14769	4337
773	14786	4317
774	14805	4298
775	14822	4278
776	14839	4259
777	14854	4238
778	14869	4218
779	14879	4196
780	14894	4176
781	14908	4156
782	14926	4136
783	14946	4117
784	14965	4098
785	14984	4079
786	15003	4060
787	15021	4041
788	15038	4021
789	15056	4002
790	15076	3983
791	15092	3963
792	15111	3944
793	15125	3924
794	15143	3904
795	15156	3884
796	15173	3864
797	15193	3846
798	15213	3827
799	15232	3808
800	15252	3789
801	15272	3770
802	15291	3751
803	15310	3732
804	15331	3713
805	15350	3694
806	15369	3675
807	15394	3658
808	15416	3639
809	15436	3620
810	15457	3602
811	15473	3582
812	15485	3561
813	15495	3540
814	15510	3520
815	15523	3500
816	15533	3479
817	15544	3458
818	15557	3438
819	15569	3417
820	15579	3396
821	15591	3376
822	15603	3355
823	15615	3335
824	15629	3315
825	15639	3294
826	15654	3274
827	15669	3255
828	15685	3235
829	15701	3215
830	15714	3195
831	15725	3175
832	15738	3155
833	15750	3135
834	15765	3115
835	15779	3095
836	15794	3075
837	15803	3055
838	15813	3034
839	15824	3014
840	15840	2994
841	15852	2974
842	15863	2954
843	15882	2935
844	15901	2916
845	15924	2898
846	15943	2879
847	15966	2861
848	15986	2843
849	16009	2825
850	16028	2806
851	16041	2786
852	16056	2767
853	16068	2747
854	16084	2727
855	16099	2708
856	16111	2688
857	16125	2668
858	16141	2649
859	16155	2629
860	16169	2610
861	16180	2590
862	16193	2570
863	16213	2552
864	16234	2533
865	16254	2515
866	16272	2496
867	16292	2477
868	16314	2459
869	16337	2441
